,classifier_name,dataset_name,accuracy
79,Attention 1st-Order r.avg. (old),ItalyPowerDemand,0.9026239067055392
80,Attention 1st-Order r.avg. (old),Lightning7,0.4739726027397259
81,Attention 1st-Order r.avg. (old),Meat,0.85
82,Attention 1st-Order r.avg. (old),MedicalImages,0.3621052631578947
83,Attention 1st-Order r.avg. (old),MiddlePhalanxOutlineAgeGroup,0.5532467532467533
84,Attention 1st-Order r.avg. (old),MiddlePhalanxOutlineCorrect,0.5360824742268042
85,Attention 1st-Order r.avg. (old),MiddlePhalanxTW,0.5714285714285714
86,Attention 1st-Order r.avg. (old),MoteStrain,0.8442492012779553
87,Attention 1st-Order r.avg. (old),PhalangesOutlinesCorrect,0.7902097902097903
88,Attention 1st-Order r.avg. (old),Plane,0.9523809523809524
89,Attention 1st-Order r.avg. (old),PowerCons,0.49222222222222217
90,Attention 1st-Order r.avg. (old),ProximalPhalanxOutlineAgeGroup,0.3248780487804878
91,Attention 1st-Order r.avg. (old),ProximalPhalanxOutlineCorrect,0.8109965635738833
92,Attention 1st-Order r.avg. (old),ProximalPhalanxTW,0.5814634146341463
93,Attention 1st-Order r.avg. (old),ShapeletSim,0.8333333333333334
94,Attention 1st-Order r.avg. (old),SmoothSubspace,0.8799999999999999
95,Attention 1st-Order r.avg. (old),SonyAIBORobotSurface2,0.918572927597062
96,Attention 1st-Order r.avg. (old),Strawberry,0.5654054054054054
97,Attention 1st-Order r.avg. (old),SwedishLeaf,0.45280000000000004
98,Attention 1st-Order r.avg. (old),Symbols,0.8938693467336684
99,Attention 1st-Order r.avg. (old),SyntheticControl,0.7753333333333335
100,Attention 1st-Order r.avg. (old),ToeSegmentation1,0.743859649122807
101,Attention 1st-Order r.avg. (old),ToeSegmentation2,0.5292307692307692
102,Attention 1st-Order r.avg. (old),Trace,0.908
103,Attention 1st-Order r.avg. (old),TwoLeadECG,0.8198419666374012
104,Attention 1st-Order r.avg. (old),TwoPatterns,0.2935
105,Attention 1st-Order r.avg. (old),UMD,0.8208333333333334
106,Attention 1st-Order r.avg. (old),Wine,1.0
107,Attention 2nd-Order r.avg.,Adiac,0.7423273657289002
108,Attention 2nd-Order r.avg.,ArrowHead,0.774
109,Attention 2nd-Order r.avg.,BME,0.9959999999999999
110,Attention 2nd-Order r.avg.,Beef,0.8616666666666667
111,Attention 2nd-Order r.avg.,CBF,0.9910555555555556
112,Attention 2nd-Order r.avg.,Chinatown,0.9699708454810496
113,Attention 2nd-Order r.avg.,ChlorineConcentration,0.6229036458333334
114,Attention 2nd-Order r.avg.,Coffee,0.9821428571428572
115,Attention 2nd-Order r.avg.,CricketY,0.6101282051282051
116,Attention 2nd-Order r.avg.,DiatomSizeReduction,0.9326797385620915
117,Attention 2nd-Order r.avg.,DistalPhalanxOutlineAgeGroup,0.8762589928057554
118,Attention 2nd-Order r.avg.,DistalPhalanxOutlineCorrect,0.7018115942028985
119,Attention 2nd-Order r.avg.,DistalPhalanxTW,0.8125899280575539
120,Attention 2nd-Order r.avg.,ECG200,0.8885000000000001
121,Attention 2nd-Order r.avg.,ECG5000,0.9711333333333334
122,Attention 2nd-Order r.avg.,ECGFiveDays,0.8937282229965157
123,Attention 2nd-Order r.avg.,FaceAll,0.7139349112426036
124,Attention 2nd-Order r.avg.,FaceFour,0.8755681818181819
125,Attention 2nd-Order r.avg.,FacesUCR,0.638609756097561
126,Attention 2nd-Order r.avg.,FiftyWords,0.5015384615384615
127,Attention 2nd-Order r.avg.,Fish,0.782
128,Attention 2nd-Order r.avg.,FreezerRegularTrain,0.9608421052631579
129,Attention 2nd-Order r.avg.,GunPoint,0.9390000000000001
130,Attention 2nd-Order r.avg.,GunPointAgeSpan,0.932753164556962
131,Attention 2nd-Order r.avg.,GunPointMaleVersusFemale,0.9988924050632911
132,Attention 2nd-Order r.avg.,GunPointOldVersusYoung,1.0
133,Attention 2nd-Order r.avg.,Ham,0.828095238095238
134,Attention 2nd-Order r.avg.,ItalyPowerDemand,0.9587463556851312
135,Attention 2nd-Order r.avg.,Lightning7,0.808904109589041
136,Attention 2nd-Order r.avg.,Meat,0.9175
137,Attention 2nd-Order r.avg.,MedicalImages,0.6782894736842106
138,Attention 2nd-Order r.avg.,MiddlePhalanxOutlineAgeGroup,0.7571428571428571
139,Attention 2nd-Order r.avg.,MiddlePhalanxOutlineCorrect,0.6391752577319587
140,Attention 2nd-Order r.avg.,MiddlePhalanxTW,0.8347402597402598
141,Attention 2nd-Order r.avg.,MoteStrain,0.9172923322683706
142,Attention 2nd-Order r.avg.,OSULeaf,0.7278925619834711
143,Attention 2nd-Order r.avg.,PhalangesOutlinesCorrect,0.4191142191142191
144,Attention 2nd-Order r.avg.,Plane,0.9961904761904762
145,Attention 2nd-Order r.avg.,PowerCons,0.9647222222222221
146,Attention 2nd-Order r.avg.,ProximalPhalanxOutlineAgeGroup,0.9565853658536585
147,Attention 2nd-Order r.avg.,ProximalPhalanxOutlineCorrect,0.7195876288659794
148,Attention 2nd-Order r.avg.,ProximalPhalanxTW,0.7978048780487804
149,Attention 2nd-Order r.avg.,ShapeletSim,0.9894444444444445
150,Attention 2nd-Order r.avg.,SmoothSubspace,0.9563333333333334
151,Attention 2nd-Order r.avg.,SonyAIBORobotSurface2,0.9068205666316894
152,Attention 2nd-Order r.avg.,Strawberry,0.9271621621621622
153,Attention 2nd-Order r.avg.,SwedishLeaf,0.90808
154,Attention 2nd-Order r.avg.,Symbols,0.8916582914572865
155,Attention 2nd-Order r.avg.,SyntheticControl,0.9785
156,Attention 2nd-Order r.avg.,ToeSegmentation1,0.8120614035087719
157,Attention 2nd-Order r.avg.,ToeSegmentation2,0.9238461538461539
158,Attention 2nd-Order r.avg.,Trace,1.0
159,Attention 2nd-Order r.avg.,TwoLeadECG,0.8746268656716418
160,Attention 2nd-Order r.avg.,TwoPatterns,0.8444375000000001
161,Attention 2nd-Order r.avg.,UMD,0.9809027777777779
162,Attention 2nd-Order r.avg.,Wine,0.7777777777777778
163,Attention 2nd-Order r.avg.,WordSynonyms,0.5814263322884013
164,Attention 2nd-Order r.avg. (old),ArrowHead,0.9074285714285716
165,Attention 2nd-Order r.avg. (old),BME,0.7919999999999999
166,Attention 2nd-Order r.avg. (old),Beef,0.9733333333333333
167,Attention 2nd-Order r.avg. (old),CBF,0.8464444444444444
168,Attention 2nd-Order r.avg. (old),Chinatown,0.9037900874635568
169,Attention 2nd-Order r.avg. (old),Coffee,0.8785714285714284
170,Attention 2nd-Order r.avg. (old),DiatomSizeReduction,0.937908496732026
171,Attention 2nd-Order r.avg. (old),DistalPhalanxOutlineAgeGroup,0.8589928057553958
172,Attention 2nd-Order r.avg. (old),DistalPhalanxOutlineCorrect,0.7565217391304347
173,Attention 2nd-Order r.avg. (old),DistalPhalanxTW,0.6158273381294964
174,Attention 2nd-Order r.avg. (old),ECG200,0.918
175,Attention 2nd-Order r.avg. (old),ECG5000,0.8411555555555555
176,Attention 2nd-Order r.avg. (old),ECGFiveDays,0.9098722415795587
177,Attention 2nd-Order r.avg. (old),FaceAll,0.5488757396449705
178,Attention 2nd-Order r.avg. (old),FaceFour,0.8977272727272728
179,Attention 2nd-Order r.avg. (old),FacesUCR,0.686829268292683
180,Attention 2nd-Order r.avg. (old),FreezerRegularTrain,0.9798596491228072
181,Attention 2nd-Order r.avg. (old),GunPoint,0.936
182,Attention 2nd-Order r.avg. (old),GunPointAgeSpan,0.9246835443037976
183,Attention 2nd-Order r.avg. (old),GunPointMaleVersusFemale,0.9272151898734178
184,Attention 2nd-Order r.avg. (old),GunPointOldVersusYoung,0.928253968253968
185,Attention 2nd-Order r.avg. (old),Ham,0.940952380952381
186,Attention 2nd-Order r.avg. (old),ItalyPowerDemand,0.933916423712342
187,Attention 2nd-Order r.avg. (old),Lightning7,0.5726027397260275
188,Attention 2nd-Order r.avg. (old),Meat,0.8700000000000001
189,Attention 2nd-Order r.avg. (old),MedicalImages,0.4034210526315789
190,Attention 2nd-Order r.avg. (old),MiddlePhalanxOutlineAgeGroup,0.7103896103896105
191,Attention 2nd-Order r.avg. (old),MiddlePhalanxOutlineCorrect,0.6316151202749142
192,Attention 2nd-Order r.avg. (old),MiddlePhalanxTW,0.6779220779220779
193,Attention 2nd-Order r.avg. (old),MoteStrain,0.9012779552715656
194,Attention 2nd-Order r.avg. (old),PhalangesOutlinesCorrect,0.7930069930069928
195,Attention 2nd-Order r.avg. (old),Plane,0.958095238095238
196,Attention 2nd-Order r.avg. (old),PowerCons,0.6833333333333332
197,Attention 2nd-Order r.avg. (old),ProximalPhalanxOutlineAgeGroup,0.4809756097560975
198,Attention 2nd-Order r.avg. (old),ProximalPhalanxOutlineCorrect,0.7298969072164949
199,Attention 2nd-Order r.avg. (old),ProximalPhalanxTW,0.6897560975609757
200,Attention 2nd-Order r.avg. (old),ShapeletSim,0.8333333333333334
201,Attention 2nd-Order r.avg. (old),SmoothSubspace,0.9293333333333332
202,Attention 2nd-Order r.avg. (old),SonyAIBORobotSurface2,0.9200419727177334
203,Attention 2nd-Order r.avg. (old),Strawberry,0.5421621621621622
204,Attention 2nd-Order r.avg. (old),SwedishLeaf,0.6931200000000001
205,Attention 2nd-Order r.avg. (old),Symbols,0.9007035175879397
