,classifier_name,dataset_name,accuracy
71,LRP-rollout 2nd-Order  rMA (old),Ham,0.9161904761904761
72,LRP-rollout 2nd-Order  rMA (old),ItalyPowerDemand,0.8983479105928085
73,LRP-rollout 2nd-Order  rMA (old),Lightning7,0.5780821917808219
74,LRP-rollout 2nd-Order  rMA (old),Meat,0.73
75,LRP-rollout 2nd-Order  rMA (old),MedicalImages,0.5418421052631579
76,LRP-rollout 2nd-Order  rMA (old),MiddlePhalanxOutlineAgeGroup,0.5571428571428572
77,LRP-rollout 2nd-Order  rMA (old),MiddlePhalanxOutlineCorrect,0.6982817869415807
78,LRP-rollout 2nd-Order  rMA (old),MiddlePhalanxTW,0.7272727272727273
79,LRP-rollout 2nd-Order  rMA (old),MoteStrain,0.8504792332268372
80,LRP-rollout 2nd-Order  rMA (old),PhalangesOutlinesCorrect,0.6687645687645688
81,LRP-rollout 2nd-Order  rMA (old),Plane,0.9180952380952381
82,LRP-rollout 2nd-Order  rMA (old),PowerCons,0.7333333333333334
83,LRP-rollout 2nd-Order  rMA (old),ProximalPhalanxOutlineAgeGroup,0.7121951219512195
84,LRP-rollout 2nd-Order  rMA (old),ProximalPhalanxOutlineCorrect,0.7024054982817869
85,LRP-rollout 2nd-Order  rMA (old),ProximalPhalanxTW,0.806829268292683
86,LRP-rollout 2nd-Order  rMA (old),ShapeletSim,0.8333333333333334
87,LRP-rollout 2nd-Order  rMA (old),SmoothSubspace,0.7866666666666666
88,LRP-rollout 2nd-Order  rMA (old),SonyAIBORobotSurface2,0.8977964323189926
89,LRP-rollout 2nd-Order  rMA (old),Strawberry,0.7556756756756757
90,LRP-rollout 2nd-Order  rMA (old),SwedishLeaf,0.56096
91,LRP-rollout 2nd-Order  rMA (old),Symbols,0.8868341708542713
92,LRP-rollout 2nd-Order  rMA (old),SyntheticControl,0.7040000000000001
93,LRP-rollout 2nd-Order  rMA (old),ToeSegmentation1,0.8140350877192983
94,LRP-rollout 2nd-Order  rMA (old),ToeSegmentation2,0.4569230769230769
95,LRP-rollout 2nd-Order  rMA (old),Trace,0.954
96,LRP-rollout 2nd-Order  rMA (old),TwoLeadECG,0.8189640035118526
97,LRP-rollout 2nd-Order  rMA (old),TwoPatterns,0.34865
98,LRP-rollout 2nd-Order  rMA (old),UMD,0.7875
99,LRP-rollout 2nd-Order  rMA (old),Wine,1.0
100,LRP-transformer_attribution 2nd-Order  rMA (old),ArrowHead,0.8982857142857142
101,LRP-transformer_attribution 2nd-Order  rMA (old),BME,0.8906666666666668
102,LRP-transformer_attribution 2nd-Order  rMA (old),Beef,0.9800000000000001
103,LRP-transformer_attribution 2nd-Order  rMA (old),CBF,0.8315555555555555
104,LRP-transformer_attribution 2nd-Order  rMA (old),Chinatown,0.8623906705539358
105,LRP-transformer_attribution 2nd-Order  rMA (old),Coffee,0.8785714285714287
106,LRP-transformer_attribution 2nd-Order  rMA (old),DiatomSizeReduction,0.9209150326797386
107,LRP-transformer_attribution 2nd-Order  rMA (old),DistalPhalanxOutlineAgeGroup,0.6028776978417266
108,LRP-transformer_attribution 2nd-Order  rMA (old),DistalPhalanxOutlineCorrect,0.4434782608695652
109,LRP-transformer_attribution 2nd-Order  rMA (old),DistalPhalanxTW,0.697841726618705
110,LRP-transformer_attribution 2nd-Order  rMA (old),ECG200,0.9
111,LRP-transformer_attribution 2nd-Order  rMA (old),ECG5000,0.8179555555555555
112,LRP-transformer_attribution 2nd-Order  rMA (old),ECGFiveDays,0.9045296167247387
113,LRP-transformer_attribution 2nd-Order  rMA (old),FaceAll,0.4727810650887574
114,LRP-transformer_attribution 2nd-Order  rMA (old),FaceFour,0.890909090909091
115,LRP-transformer_attribution 2nd-Order  rMA (old),FacesUCR,0.4654634146341463
116,LRP-transformer_attribution 2nd-Order  rMA (old),FreezerRegularTrain,0.9777543859649123
117,LRP-transformer_attribution 2nd-Order  rMA (old),GunPoint,0.932
118,LRP-transformer_attribution 2nd-Order  rMA (old),GunPointAgeSpan,0.9417721518987342
119,LRP-transformer_attribution 2nd-Order  rMA (old),GunPointMaleVersusFemale,0.7569620253164557
120,LRP-transformer_attribution 2nd-Order  rMA (old),GunPointOldVersusYoung,0.8380952380952381
121,LRP-transformer_attribution 2nd-Order  rMA (old),Ham,0.9180952380952381
122,LRP-transformer_attribution 2nd-Order  rMA (old),ItalyPowerDemand,0.9189504373177841
123,LRP-transformer_attribution 2nd-Order  rMA (old),Lightning7,0.5671232876712329
124,LRP-transformer_attribution 2nd-Order  rMA (old),Meat,0.7766666666666666
125,LRP-transformer_attribution 2nd-Order  rMA (old),MedicalImages,0.5768421052631579
126,LRP-transformer_attribution 2nd-Order  rMA (old),MiddlePhalanxOutlineAgeGroup,0.4038961038961039
127,LRP-transformer_attribution 2nd-Order  rMA (old),MiddlePhalanxOutlineCorrect,0.6027491408934708
128,LRP-transformer_attribution 2nd-Order  rMA (old),MiddlePhalanxTW,0.7298701298701299
129,LRP-transformer_attribution 2nd-Order  rMA (old),MoteStrain,0.8519169329073483
130,LRP-transformer_attribution 2nd-Order  rMA (old),PhalangesOutlinesCorrect,0.676923076923077
131,LRP-transformer_attribution 2nd-Order  rMA (old),Plane,0.9104761904761904
132,LRP-transformer_attribution 2nd-Order  rMA (old),PowerCons,0.8
133,LRP-transformer_attribution 2nd-Order  rMA (old),ProximalPhalanxOutlineAgeGroup,0.7151219512195122
134,LRP-transformer_attribution 2nd-Order  rMA (old),ProximalPhalanxOutlineCorrect,0.7422680412371133
135,LRP-transformer_attribution 2nd-Order  rMA (old),ProximalPhalanxTW,0.7902439024390244
136,LRP-transformer_attribution 2nd-Order  rMA (old),ShapeletSim,0.8333333333333334
137,LRP-transformer_attribution 2nd-Order  rMA (old),SmoothSubspace,0.9333333333333332
138,LRP-transformer_attribution 2nd-Order  rMA (old),SonyAIBORobotSurface2,0.8919202518363065
139,LRP-transformer_attribution 2nd-Order  rMA (old),Strawberry,0.6724324324324324
140,LRP-transformer_attribution 2nd-Order  rMA (old),SwedishLeaf,0.51264
141,LRP-transformer_attribution 2nd-Order  rMA (old),Symbols,0.8868341708542713
142,LRP-transformer_attribution 2nd-Order  rMA (old),SyntheticControl,0.7546666666666667
143,LRP-transformer_attribution 2nd-Order  rMA (old),ToeSegmentation1,0.8192982456140353
144,LRP-transformer_attribution 2nd-Order  rMA (old),ToeSegmentation2,0.4569230769230769
145,LRP-transformer_attribution 2nd-Order  rMA (old),Trace,0.97
146,LRP-transformer_attribution 2nd-Order  rMA (old),TwoLeadECG,0.8163301141352063
147,LRP-transformer_attribution 2nd-Order  rMA (old),TwoPatterns,0.34140000000000004
148,LRP-transformer_attribution 2nd-Order  rMA (old),UMD,0.7916666666666667
149,LRP-transformer_attribution 2nd-Order  rMA (old),Wine,1.0
150,Attention-. 2nd-Order  rMA (old),ArrowHead,0.9074285714285715
151,Attention-. 2nd-Order  rMA (old),BME,0.7919999999999999
152,Attention-. 2nd-Order  rMA (old),Beef,0.9733333333333334
153,Attention-. 2nd-Order  rMA (old),CBF,0.8464444444444444
154,Attention-. 2nd-Order  rMA (old),Chinatown,0.9037900874635568
155,Attention-. 2nd-Order  rMA (old),Coffee,0.8785714285714284
156,Attention-. 2nd-Order  rMA (old),DiatomSizeReduction,0.9379084967320261
157,Attention-. 2nd-Order  rMA (old),DistalPhalanxOutlineAgeGroup,0.8589928057553957
158,Attention-. 2nd-Order  rMA (old),DistalPhalanxOutlineCorrect,0.7565217391304347
159,Attention-. 2nd-Order  rMA (old),DistalPhalanxTW,0.6158273381294964
160,Attention-. 2nd-Order  rMA (old),ECG200,0.9179999999999999
161,Attention-. 2nd-Order  rMA (old),ECG5000,0.8411555555555555
162,Attention-. 2nd-Order  rMA (old),ECGFiveDays,0.9098722415795587
163,Attention-. 2nd-Order  rMA (old),FaceAll,0.5488757396449705
164,Attention-. 2nd-Order  rMA (old),FaceFour,0.8977272727272727
165,Attention-. 2nd-Order  rMA (old),FacesUCR,0.6868292682926829
166,Attention-. 2nd-Order  rMA (old),FreezerRegularTrain,0.9798596491228071
167,Attention-. 2nd-Order  rMA (old),GunPoint,0.9359999999999999
168,Attention-. 2nd-Order  rMA (old),GunPointAgeSpan,0.9246835443037975
169,Attention-. 2nd-Order  rMA (old),GunPointMaleVersusFemale,0.9272151898734178
170,Attention-. 2nd-Order  rMA (old),GunPointOldVersusYoung,0.9282539682539681
