,classifier_name,dataset_name,accuracy
2013,Random 1st-Order r.avg. (old),MedicalImages,0.5157894736842106
2014,Random 1st-Order r.avg. (old),MiddlePhalanxOutlineAgeGroup,0.6662337662337662
2015,Random 1st-Order r.avg. (old),MiddlePhalanxOutlineCorrect,0.7725085910652922
2016,Random 1st-Order r.avg. (old),MiddlePhalanxTW,0.6454545454545454
2017,Random 1st-Order r.avg. (old),MoteStrain,0.734185303514377
2018,Random 1st-Order r.avg. (old),OSULeaf,0.40826446280991735
2019,Random 1st-Order r.avg. (old),PhalangesOutlinesCorrect,0.8167832167832169
2020,Random 1st-Order r.avg. (old),Plane,0.9638095238095238
2021,Random 1st-Order r.avg. (old),PowerCons,0.7155555555555557
2022,Random 1st-Order r.avg. (old),ProximalPhalanxOutlineAgeGroup,0.3678048780487805
2023,Random 1st-Order r.avg. (old),ProximalPhalanxOutlineCorrect,0.8206185567010309
2024,Random 1st-Order r.avg. (old),ProximalPhalanxTW,0.6204878048780487
2025,Random 1st-Order r.avg. (old),ShapeletSim,0.7244444444444443
2026,Random 1st-Order r.avg. (old),SmoothSubspace,0.9279999999999999
2027,Random 1st-Order r.avg. (old),SonyAIBORobotSurface2,0.8209863588667365
2028,Random 1st-Order r.avg. (old),Strawberry,0.6989189189189189
2029,Random 1st-Order r.avg. (old),SwedishLeaf,0.6576000000000001
2030,Random 1st-Order r.avg. (old),Symbols,0.780502512562814
2031,Random 1st-Order r.avg. (old),SyntheticControl,0.6126666666666667
2032,Random 1st-Order r.avg. (old),ToeSegmentation1,0.6228070175438596
2033,Random 1st-Order r.avg. (old),ToeSegmentation2,0.5553846153846154
2034,Random 1st-Order r.avg. (old),Trace,0.9120000000000001
2035,Random 1st-Order r.avg. (old),TwoLeadECG,0.8586479367866551
2036,Random 1st-Order r.avg. (old),TwoPatterns,0.32585000000000003
2037,Random 1st-Order r.avg. (old),UMD,0.7458333333333333
2038,Random 1st-Order r.avg. (old),Wine,0.9185185185185185
2039,Random 1st-Order r.avg. (old),WordSynonyms,0.5247648902821316
2040,SimpleGCR 1st-Order r.avg. (old),Adiac,0.41023017902813297
2041,SimpleGCR 1st-Order r.avg. (old),ArrowHead,0.7211428571428571
2042,SimpleGCR 1st-Order r.avg. (old),BME,0.7733333333333333
2043,SimpleGCR 1st-Order r.avg. (old),Beef,0.6
2044,SimpleGCR 1st-Order r.avg. (old),CBF,0.8122222222222224
2045,SimpleGCR 1st-Order r.avg. (old),Chinatown,0.9475218658892128
2046,SimpleGCR 1st-Order r.avg. (old),ChlorineConcentration,0.41708333333333336
2047,SimpleGCR 1st-Order r.avg. (old),Coffee,0.7714285714285715
2048,SimpleGCR 1st-Order r.avg. (old),CricketY,0.34564102564102567
2049,SimpleGCR 1st-Order r.avg. (old),DiatomSizeReduction,0.8908496732026144
2050,SimpleGCR 1st-Order r.avg. (old),DistalPhalanxOutlineAgeGroup,0.893525179856115
2051,SimpleGCR 1st-Order r.avg. (old),DistalPhalanxOutlineCorrect,0.7427536231884059
2052,SimpleGCR 1st-Order r.avg. (old),DistalPhalanxTW,0.7251798561151078
2053,SimpleGCR 1st-Order r.avg. (old),ECG200,0.7739999999999999
2054,SimpleGCR 1st-Order r.avg. (old),ECG5000,0.4474666666666667
2055,SimpleGCR 1st-Order r.avg. (old),ECGFiveDays,0.8385598141695703
2056,SimpleGCR 1st-Order r.avg. (old),FaceAll,0.5285207100591716
2057,SimpleGCR 1st-Order r.avg. (old),FaceFour,0.5454545454545454
2058,SimpleGCR 1st-Order r.avg. (old),FacesUCR,0.5099512195121951
2059,SimpleGCR 1st-Order r.avg. (old),FiftyWords,0.4342857142857143
2060,SimpleGCR 1st-Order r.avg. (old),Fish,0.2914285714285715
2061,SimpleGCR 1st-Order r.avg. (old),GunPoint,0.8626666666666665
2062,SimpleGCR 1st-Order r.avg. (old),GunPointAgeSpan,0.9462025316455696
2063,SimpleGCR 1st-Order r.avg. (old),GunPointMaleVersusFemale,0.8183544303797469
2064,SimpleGCR 1st-Order r.avg. (old),GunPointOldVersusYoung,0.746031746031746
